Customer_ID|Customer_Name|Customer_Email|Customer_City|Customer_State|Customer_DOB
1684012735799|Lana Golden|nisi@nec.edu|Orange|New South Wales|1994-01-14
1600111230999|Jennifer Frederick|metus.In@inmolestietortor.ca|Canberra|ACT|1982-01-12
1654101252899|Hayden Gibbs|Morbi.vehicula@tincidunt.ca|Stirling|Western Australia|1983-11-27
1657052171299|Irene Solis|parturient@magnis.edu|Bundaberg|QLD|1961-04-03
1676011249399|Gray Holt|volutpat.Nulla@apurusDuis.ca|Penrith|New South Wales|2010-09-24
1684031916699|Jack Marks|bibendum.sed.est@sedtortorInteger.co.uk|Redlands|QLD|1967-07-10
1693062680299|Dana Rogers|magna@rhoncusProin.net|Orange|NSW|1963-09-25
1625022095599|Giacomo Simon|ridiculus@orcilobortis.org|Tamworth|NSW|2020-08-08
1604120170099|Shelby Gay|mauris@tortor.edu|Parramatta|NSW|2004-04-03
1696040603199|Nell Stone|lectus@urnaet.co.uk|Dubbo|New South Wales|1972-12-11
1652101133599|Jenna Madden|sapien@Fuscealiquetmagna.ca|Canberra|ACT|2001-02-23
1604080336099|Martena Perez|dolor@necquamCurabitur.edu|Cessnock|NSW|1980-11-22
1615121316399|Maggy Singleton|ultrices.mauris@velnisl.co.uk|Caloundra|QLD|1999-02-14
1603122304699|David Nicholson|Nunc.ac@fringillacursuspurus.co.uk|Redcliffe|QLD|1984-02-20
1609091644199|Tad Riddle|sem@ipsumporta.com|Lithgow|NSW|1981-01-18
1682100334099|Jeremy Nicholson|consequat.purus.Maecenas@ametconsectetueradipiscing.edu|Belgrave|VIC|2003-12-13
1654121742699|Lillian Meadows|volutpat@mattisIntegereu.edu|Blue Mountains|NSW|1997-09-28
1678091510499|Melissa Hyde|ac.libero@velitSed.edu|Redlands|Queensland|2009-08-31
1634080140299|Vanna Patrick|tempus.lorem@odio.com|Hervey Bay|Queensland|2000-06-27
1620091634599|Rashad Mooney|Nunc.ac@ametnullaDonec.com|South Perth|Western Australia|1966-03-08
1644121215599|Lester Mcconnell|massa.rutrum.magna@leoinlobortis.ca|Newcastle|NSW|2009-05-15
1634040664099|Zeus Winters|eleifend.Cras.sed@Integermollis.com|Shepparton|Victoria|2002-09-24
1600021108399|Iona Hopper|molestie@adipiscing.net|Gladstone|Queensland|1964-10-28
1666011047799|Hiram Bullock|Fusce@vitae.co.uk|Goulburn|NSW|1974-11-06
1614051799299|Jelani Spencer|imperdiet.non@euismodurna.co.uk|Queanbeyan|New South Wales|1972-06-16
1687072603299|Philip Burris|dui@dignissimmagnaa.edu|Wangaratta|Victoria|2003-12-09
1616122721599|Dexter Stone|aptent.taciti.sociosqu@et.edu|Brisbane|Queensland|1986-07-21
1608071725899|Blossom Blankenship|dui@molestiedapibusligula.ca|Logan City|Queensland|2007-06-24
1641072639299|Freya Weaver|Suspendisse.ac.metus@convallis.org|Murray Bridge|SA|2005-09-06
1655110936099|Elton Roach|Cras@arcu.ca|Subiaco|WA|1963-01-06
1675072779099|Burke Long|faucibus.orci@acsem.com|Melton|Victoria|2005-06-16
1688091364099|Marcia Dickson|magna.nec.quam@nostraperinceptos.edu|Wangaratta|Victoria|1978-11-27
1626022548099|Casey Lancaster|eget.laoreet.posuere@hendreritnequeIn.net|Stirling|Western Australia|1972-05-21
1609122036799|Rooney Osborne|ornare.elit@Duis.edu|Mount Isa|QLD|1998-09-02
1656030159899|Paki Banks|leo.elementum.sem@id.com|Campbelltown|NSW|2002-09-13
1626092147699|Alisa Keith|orci@dolorsit.org|Maryborough|Queensland|1989-08-26
1637082696099|Donovan Branch|leo@pellentesqueSed.ca|Sale|VIC|1998-04-23
1642022262099|Timothy Atkins|placerat.velit.Quisque@Fuscefeugiat.com|Whyalla|SA|1967-11-28
1608032726799|Sharon Whitfield|sapien.molestie.orci@urnaconvalliserat.edu|Mildura|VIC|2016-09-21
1615111826699|Florence Bryan|et.magna.Praesent@vitaesodalesnisi.edu|Rockingham|Western Australia|1963-02-02
1699082952599|Jescie Leon|quis@nullaIntegerurna.org|Toowoomba|Queensland|2007-01-02
1688062687399|Nicholas Gonzales|metus@tellusAeneanegestas.co.uk|Melbourne|Victoria|1968-01-12
1621022622799|Maile Gallagher|dictum.cursus.Nunc@fringillaornareplacerat.org|Belgrave|Victoria|1983-07-03
1684011460799|George Terry|neque.sed@ac.net|Port Pirie|South Australia|1997-09-06
1632120613599|Sylvester Sandoval|eu.enim@venenatisa.com|Victor Harbor|South Australia|1996-03-22
1641101921699|Farrah Quinn|eleifend.Cras@nibh.ca|Cairns|QLD|1978-05-29
1603101532299|Julian Hammond|vel.est@estmollis.co.uk|Palmerston|NT|1980-02-26
1646091225499|Kimberly Griffith|commodo@Vestibulumanteipsum.org|Mandurah|Western Australia|2010-06-18
1674112990199|Inez Grimes|dolor.Fusce.mi@et.net|Hervey Bay|Queensland|2020-06-17
1640042107799|Simon Bruce|Ut.semper.pretium@penatibus.edu|Devonport|Tasmania|1975-10-27
1697100883499|Zeus Savage|est@ultrices.co.uk|Morwell|Victoria|1979-07-11
