Customer_ID|Customer_Name|Customer_Email|Customer_City|Customer_State|Customer_DOB
1669021274299|Victor Hughes|augue@loremlorem.com|Wagga Wagga|NSW|2008-05-21
1691110815599|Calvin Shannon|venenatis@sodalesat.org|Wodonga|Victoria|1965-10-10
1634111410699|Kuame Casey|nonummy@inmolestie.co.uk|Geraldton-Greenough|WA|1976-12-09
1630092881799|Renee Frye|ornare.elit.elit@diam.edu|Newcastle|NSW|1970-06-24
1689090683499|Ima Thomas|nonummy.ac@acfacilisisfacilisis.org|Sydney|New South Wales|2010-10-11
1680021235699|Keelie Lloyd|turpis.vitae.purus@penatibus.net|Bairnsdale|VIC|2002-05-03
1694121994499|Melanie Watson|Praesent.interdum.ligula@augueeu.net|Mount Gambier|SA|1999-04-06
1667092014699|Abbot Cotton|id@velitCraslorem.net|Melton|VIC|1960-12-12
1662052855099|Kaye Harvey|fringilla@elitNulla.net|Ipswich|QLD|1990-10-27
1640032360199|Darius Duke|pharetra@aliquetlobortisnisi.net|Bendigo|Victoria|1988-02-06
1677082308699|Quyn Dillard|aliquet.odio.Etiam@imperdietdictum.co.uk|Tamworth|New South Wales|2004-02-12
1678072216599|Chancellor Ross|Cras.pellentesque.Sed@etcommodoat.co.uk|Port Augusta|South Australia|1987-09-04
1656111788699|Gillian Watson|Maecenas@auguescelerisquemollis.net|Orange|New South Wales|1981-01-12
1664080588899|Calvin Schneider|est.arcu@tortorInteger.org|Albury|New South Wales|1980-02-09
1675041134599|Beck Rhodes|neque.venenatis@aliquamiaculis.edu|Ipswich|Queensland|1979-01-29
1671110750999|Jena Aguirre|Fusce.aliquet@Mauris.edu|Wollongong|NSW|1979-12-05
1602011047399|Nyssa Wilcox|vel.pede.blandit@sitamet.net|Hervey Bay|Queensland|1965-01-20
1687061622799|Ashely Daniel|In@atsem.co.uk|Logan City|Queensland|1991-04-05
1683082883299|Ocean Freeman|Proin.eget@euneque.com|Queanbeyan|New South Wales|2008-11-05
1660050842899|Teagan Becker|metus.sit.amet@parturientmontesnascetur.co.uk|Mount Isa|QLD|1981-12-13
1684120545799|Octavia Mcdaniel|Proin.sed.turpis@risusQuisque.ca|Gold Coast|QLD|1979-06-21
1642102135199|Meghan Williamson|parturient.montes.nascetur@etmagnis.com|Greater Hobart|TAS|1971-06-09
1694082293599|Karly Keller|orci.lobortis.augue@Integer.ca|Greater Hobart|TAS|2019-12-17
1682042425399|Amir Leon|elit@diamatpretium.com|Albury|NSW|1976-08-25
1673032104099|Fitzgerald Harper|at.nisi@DonectinciduntDonec.net|Cessnock|New South Wales|2017-08-02
1684110853899|Sandra Jensen|porta.elit.a@scelerisqueloremipsum.com|Port Augusta|SA|1982-05-22
1611032335899|Barry Juarez|Nunc.laoreet@Aliquamauctorvelit.com|Mount Isa|Queensland|1969-04-06
1650061894699|Jolie Brock|eu@arcu.net|Albany|Western Australia|1989-09-11
1644061929399|Graham Glass|leo@euismodet.edu|Albany|Western Australia|1979-04-10
1646050439999|Callum Graves|Sed@tinciduntnibhPhasellus.co.uk|Dubbo|New South Wales|2008-01-11
