Customer_ID|Customer_Name|Customer_Email|Customer_City|Customer_State|Customer_DOB
1634013037799|Gannon Glenn|sapien.Aenean@enim.com|Cessnock|New South Wales|1986-04-09
1667111084599|Cheyenne Glenn|dolor@ipsum.co.uk|Liverpool|New South Wales|1998-05-29
1636040638499|Caldwell Dennis|ultrices@Cumsociisnatoque.org|Tamworth|New South Wales|1985-04-19
1681100256899|Idola Pitts|lectus.pede@a.com|Queanbeyan|New South Wales|2001-05-16
1626051884899|Craig Dudley|ac@gravida.edu|Albury|NSW|1965-06-02
1605082610199|Reuben Rowe|tristique.senectus@Aeneaneget.ca|Benalla|VIC|2010-12-29
1618042063399|Jaime Mendez|justo.Praesent.luctus@rutrumFuscedolor.com|Launceston|TAS|1997-08-31
1699111927399|Astra Lindsay|Cras@egestas.edu|Armidale|NSW|1969-02-23
1626012017699|Maggie Lambert|Praesent.eu@orciUt.com|Traralgon|Victoria|1999-01-28
1696102209599|Melyssa Bowman|lobortis.nisi.nibh@eu.net|Gold Coast|Queensland|1990-12-07
1645062439399|Zoe Walls|nostra.per@odiosemper.org|Melton|Victoria|1966-09-27
1648081208799|Justine Martin|felis.Donec@pharetraQuisque.co.uk|Wagga Wagga|NSW|1990-09-29
1668122630699|Ryan Bush|mollis.dui@Donec.co.uk|Fremantle|Western Australia|1972-12-19
1623070662799|Ulysses Henderson|in@vestibulumloremsit.edu|Bathurst|New South Wales|1961-08-11
1657051571099|Karly Larsen|neque.Nullam@aaliquetvel.co.uk|Bathurst|New South Wales|2011-12-24
1668100165199|Bradley Massey|magna@adipiscing.net|Mackay|Queensland|1970-05-26
1665120760299|Colorado Palmer|pellentesque.a@venenatislacus.net|Goulburn|NSW|2007-02-05
1603122709599|Rahim Hutchinson|tellus@tempor.ca|Ballarat|Victoria|1969-11-29
1618112864199|Rylee West|laoreet.ipsum.Curabitur@quamdignissimpharetra.org|Mildura|Victoria|2018-10-05
